id,consensus_3reader,lexicon_score,claude_score,gemini_score,claude_correct_when_lexicon_wrong,gemini_correct_when_lexicon_wrong,any_llm_correct_when_lexicon_wrong,negation_exclusion_case
1145,1,3,1,1,1,1,1,1
397,3,2,2,1,0,0,0,0
1987,0,1,1,0,0,1,1,0
1896,0,1,0,0,1,1,1,1
3075,1,0,0,0,0,0,0,0
3974,2,3,2,2,1,1,1,0
822,1,0,1,1,1,1,1,0
349,0,1,0,0,1,1,1,1
1035,2,3,3,2,0,1,1,0
2002,1,3,3,2,0,0,0,0
877,2,3,2,2,1,1,1,0
2572,0,1,0,0,1,1,1,1
411,1,2,2,1,0,1,1,0
1557,1,3,3,2,0,0,0,0
3899,0,1,1,0,0,1,1,0
3869,0,2,0,0,1,1,1,1
2018,0,1,0,0,1,1,1,1
494,1,2,2,2,0,0,0,0
2299,0,1,1,1,0,0,0,0
786,0,1,0,0,1,1,1,1
569,2,3,3,2,0,1,1,0
3278,1,2,1,1,1,1,1,0
3140,3,2,2,2,0,0,0,0
156,0,1,0,0,1,1,1,1
2386,0,1,0,0,1,1,1,1
2188,1,3,2,2,0,0,0,0
2859,2,3,2,2,1,1,1,0
853,0,1,0,0,1,1,1,1
2449,1,2,1,1,1,1,1,1
2246,0,1,1,1,0,0,0,0
137,1,3,1,1,1,1,1,1
743,1,2,1,1,1,1,1,0
1991,2,1,3,2,0,1,1,0
2070,2,3,2,2,1,1,1,0
1365,1,2,1,1,1,1,1,1
1181,1,2,1,1,1,1,1,1
820,0,1,1,0,0,1,1,0
1237,1,2,1,1,1,1,1,1
952,1,3,2,2,0,0,0,0
2812,0,1,1,1,0,0,0,0
258,0,1,0,1,1,0,1,1
2837,2,3,3,3,0,0,0,0
3490,2,3,2,2,1,1,1,0
3791,1,2,1,2,1,0,1,0
2624,0,1,1,1,0,0,0,0
1116,0,2,0,0,1,1,1,1
2158,1,3,1,2,1,0,1,0
1471,1,3,2,2,0,0,0,0
2973,1,2,1,1,1,1,1,0
3650,1,3,1,1,1,1,1,1
2027,2,3,2,2,1,1,1,1
3326,2,0,2,2,1,1,1,0
1220,1,3,1,1,1,1,1,1
1970,1,2,1,1,1,1,1,1
